Tina,Caron,4587,66 Street NW,Edmonton,Alberta,T5E 2R4
Bob,Ross,55,Happy Lane,Seattle,British Columbia,T5T 5T5
Fred,George,4875,Anywhere Street,Calgary,New Brunswick,T7E 4E4
John,Smith,77,Horrible Lane,Edmonton,Quebec,R5R 5T5
Tina,Caron,4587,66 Street NW,Edmonton,Alberta,T5E 2R4
Bob,Ross,55,Happy Lane,Seattle,British Columbia,T5T 5T5
Fred,George,4875,Anywhere Street,Calgary,New Brunswick,T7E 4E4
John,Smith,77,Horrible Lane,Edmonton,Quebec,R5R 5T5
Tina,Caron,4587,66 Street NW,Edmonton,Alberta,T5E 2R4
Bob,Ross,55,Happy Lane,Seattle,British Columbia,T5T 5T5
Fred,George,4875,Anywhere Street,Calgary,New Brunswick,T7E 4E4
John,Smith,77,Horrible Lane,Edmonton,Quebec,R5R 5T5
Tina,Caron,4587,66 Street NW,Edmonton,Alberta,T5E 2R4
Bob,Ross,55,Happy Lane,Seattle,British Columbia,T5T 5T5
Fred,George,4875,Anywhere Street,Calgary,New Brunswick,T7E 4E4
John,Smith,77,Horrible Lane,Edmonton,Quebec,R5R 5T5
Tina,Caron,4587,66 Street NW,Edmonton,Alberta,T5E 2R4
Bob,Ross,55,Happy Lane,Seattle,British Columbia,T5T 5T5
Fred,George,4875,Anywhere Street,Calgary,New Brunswick,T7E 4E4
John,Smith,77,Horrible Lane,Edmonton,Quebec,R5R 5T5
Tina,Caron,4587,66 Street NW,Edmonton,Alberta,T5E 2R4
Bob,Ross,55,Happy Lane,Seattle,British Columbia,T5T 5T5
Fred,George,4875,Anywhere Street,Calgary,New Brunswick,T7E 4E4
John,Smith,77,Horrible Lane,Edmonton,Quebec,R5R 5T5
